0	0
1	1847
2	3687
3	5513
4	7317
5	9092
6	10832
7	12529
8	14177
9	15769
10	17299
11	18761
12	20150
13	21459
14	22684
15	23820
16	24863
17	25807
18	26651
19	27389
20	28020
21	28541
22	28950
23	29245
24	29425
25	29489
26	29438
27	29271
28	28989
29	28593
30	28085
31	27466
32	26740
33	25908
34	24975
35	23944
36	22818
37	21603
38	20303
39	18923
40	17469
41	15946
42	14361
43	12719
44	11027
45	9292
46	7520
47	5719
48	3896
49	2057
50	210
51	-1637
52	-3479
53	-5306
54	-7113
55	-8892
56	-10636
57	-12339
58	-13992
59	-15591
60	-17129
61	-18599
62	-19996
63	-21315
64	-22550
65	-23696
66	-24749
67	-25705
68	-26560
69	-27311
70	-27954
71	-28487
72	-28909
73	-29217
74	-29410
75	-29488
76	-29450
77	-29296
78	-29027
79	-28644
80	-28148
81	-27542
82	-26828
83	-26008
84	-25086
85	-24066
86	-22951
87	-21745
88	-20455
89	-19084
90	-17638
91	-16123
92	-14544
93	-12908
94	-11222
95	-9491
96	-7723
97	-5925
98	-4104
99	-2266
100	-420
101	1427
102	3270
103	5100
104	6909
105	8692
106	10440
107	12148
108	13807
109	15412
110	16957
111	18435
112	19841
113	21169
114	22414
115	23570
116	24634
117	25601
118	26468
119	27231
120	27886
121	28432
122	28867
123	29188
124	29394
125	29485
126	29460
127	29319
128	29063
129	28693
130	28210
131	27616
132	26914
133	26106
134	25196
135	24186
136	23082
137	21887
138	20606
139	19243
140	17806
141	16298
142	14726
143	13097
144	11416
145	9690
146	7926
147	6131
148	4312
149	2476
150	630
151	-1218
152	-3061
153	-4893
154	-6705
155	-8491
156	-10243
157	-11956
158	-13621
159	-15233
160	-16785
161	-18271
162	-19685
163	-21022
164	-22277
165	-23443
166	-24518
167	-25496
168	-26375
169	-27149
170	-27817
171	-28376
172	-28823
173	-29157
174	-29376
175	-29480
176	-29468
177	-29341
178	-29098
179	-28741
180	-28271
181	-27689
182	-26999
183	-26203
184	-25304
185	-24306
186	-23212
187	-22027
188	-20755
189	-19402
190	-17973
191	-16473
192	-14908
193	-13285
194	-11609
195	-9888
196	-8128
197	-6336
198	-4519
199	-2685
200	-840
201	1008
202	2852
203	4685
204	6500
205	8289
206	10046
207	11763
208	13434
209	15053
210	16612
211	18106
212	19528
213	20874
214	22138
215	23315
216	24401
217	25390
218	26280
219	27067
220	27747
221	28318
